Audi - Q7,168
Volvo - V60,167
BMW - i3,167
INFINITI - Q70,166
Chevrolet - TrailBlazer,166
Toyota - Prius C,156
BMW - X1,156
Chevrolet - Trax,154
Aston Martin - Vanquish,149
Mazda - CX-9,148
Subaru - BRZ,148
Mercedes-Benz - CLA Class,144
Maserati - Quattroporte,144
Jeep - Renegade,142
Lincoln - Continental,141
FIAT - 500L,141
Lincoln - Aviator,139
Ford - Transit Connect Wagon,139
Lexus - NX,139
Jaguar - XE,137
Mitsubishi - Mirage,136
Rolls-Royce - Ghost,129
Volvo - S90,126
Acura - TLX,125
INFINITI - QX60,125
Hyundai - Ioniq,123
Mazda - CX-3,121
Bentley - Mulsanne,121
Kia - Niro,121
Mercedes-Benz - GLA Class,118
Cadillac - CT6,117
Alfa Romeo - 4C,115
Cadillac - XTS,115
Tesla - Model S,115
Porsche - 718,114
Lexus - GX,113
Audi - Q8,112
Lincoln - Nautilus,109
Buick - Encore,108
Land Rover - Discovery,106
Mercedes-Benz - Metris,105
FIAT - 500e,104
Genesis - G90,102
FIAT - 124 Spider,99
Chevrolet - Blazer,98
Honda - HR-V,98
Jaguar - F-Pace,97
Kia - Cadenza,96
Mercedes-Benz - SLC Class,96
Aston Martin - DBS,96
Lincoln - MKC,95
Buick - Cascada,95
Alfa Romeo - Giulia,92
INFINITI - QX50,92
Chevrolet - Bolt EV,91
Nissan - Rogue Sport,90
Land Rover - Discovery Sport,90
Porsche - Taycan,89
Ferrari - 488 GTB,82
Buick - Envision,81
BMW - i8,81
FIAT - 500X,80
Audi - Q3,79
INFINITI - QX80,78
Volkswagen - Atlas,77
Honda - Clarity,76
Cadillac - XT5,76
Honda - Passport,76
Bentley - Bentayga,74
Mercedes-Benz - AMG GT,73
Rolls-Royce - Phantom,71
Toyota - Supra,71
Jaguar - I-Pace,70
Mercedes-Benz - GLB Class,69
Alfa Romeo - Stelvio,68
Toyota - C-HR,67
Lincoln - Corsair,66
Nissan - NV200,66
Maserati - Ghibli,65
Toyota - Mirai,63
McLaren - 720S,62
Volvo - V90,62
Aston Martin - DB11,60
Lexus - LC,60
Kia - K900,60
Subaru - Ascent,57
Mercedes-Benz - GLS Class,57
Mitsubishi - Eclipse Cross,56
Land Rover - Range Rover Velar,56
Volvo - XC40,55
Ford - Ecosport,54
BMW - X2,54
Kia - Telluride,53
Kia - Stinger,52
Tesla - Model X,50
Hyundai - Palisade,49
Kia - Soul EV,47
BMW - 8-Series,46
Audi - e-tron,40
Mercedes-Benz - A Class,39
Lexus - UX,38
Genesis - G80,38
Jaguar - E-Pace,37
Lamborghini - Urus,37
INFINITI - QX30,36
Hyundai - Kona,36
BMW - X7,36
Genesis - G70,36
Maserati - Levante,35
Volkswagen - e-Golf,34
Mazda - CX-30,34
Lamborghini - Aventador,33
Cadillac - XT4,32
Hyundai - Venue,31
Toyota - 86,30
Rolls-Royce - Cullinan,28
Hyundai - Kona Electric,27
Nissan - Kicks,27
Rolls-Royce - Dawn,26
Volkswagen - Arteon,24
Tesla - Model 3,23
Rolls-Royce - Wraith,23
Land Rover - Defender,21
Mercedes-Benz - EQC,20
Jeep - Gladiator,19
Cadillac - CT5,16
Alfa Romeo - 4C Spider,15
Cadillac - XT6,14
Cadillac - CT4,12
Ferrari - GTC4Lusso,8
McLaren - 570S,8
Tesla - Model Y,3
Hyundai - NEXO,2
McLaren - 570GT,2
Mazda - Mazda3 Hatchback,1
Toyota - Yaris Hatchback,1
Ferrari - Portofino,1
Porsche - 718 Spyder,1
Subaru - STI S209,1
